==========================================================================================
MULTI-TIMEFRAME RESEARCH RESULTS - KuCoin Spot
Test Period: 90 days | Pairs: 36 | Max Hold: 72 bars
Generated: 2026-04-22 12:38:07
==========================================================================================

------------------------------------------------------------------------------------------
PER-PAIR RESULTS
------------------------------------------------------------------------------------------

BTC/USDT:
  B/stop_atr tp_5: count=9, WR=11.1%, Exp=-0.684, AvgHold=14.8bars, TP%=11.1%
  B/stop_atr tp_5_wBias: count=9, WR=11.1%, Exp=-0.684, AvgHold=14.8bars, TP%=11.1%
  B/stop_atr tp_7: count=9, WR=11.1%, Exp=-0.462, AvgHold=14.8bars, TP%=11.1%
  B/stop_atr tp_7_wBias: count=9, WR=11.1%, Exp=-0.462, AvgHold=14.8bars, TP%=11.1%
  C/stop_2 tp_3: count=13, WR=23.1%, Exp=-0.846, AvgHold=18.5bars, TP%=23.1%
  C/stop_2 tp_3_wBias: count=13, WR=23.1%, Exp=-0.846, AvgHold=18.5bars, TP%=23.1%
  C/stop_2 tp_5: count=13, WR=7.7%, Exp=-0.789, AvgHold=25.7bars, TP%=7.7%
  C/stop_2 tp_5_wBias: count=13, WR=7.7%, Exp=-0.789, AvgHold=25.7bars, TP%=7.7%
  C/stop_2 tp_7: count=13, WR=0.0%, Exp=-0.949, AvgHold=26.5bars, TP%=0.0%
  C/stop_2 tp_7_wBias: count=13, WR=0.0%, Exp=-0.949, AvgHold=26.5bars, TP%=0.0%
  C/stop_atr tp_3: count=13, WR=23.1%, Exp=-0.384, AvgHold=15.3bars, TP%=23.1%
  C/stop_atr tp_3_wBias: count=13, WR=23.1%, Exp=-0.384, AvgHold=15.3bars, TP%=23.1%
  C/stop_atr tp_5: count=13, WR=7.7%, Exp=-0.528, AvgHold=20.1bars, TP%=7.7%
  C/stop_atr tp_5_wBias: count=13, WR=7.7%, Exp=-0.528, AvgHold=20.1bars, TP%=7.7%
  C/stop_atr tp_7: count=13, WR=0.0%, Exp=-0.688, AvgHold=20.8bars, TP%=0.0%
  C/stop_atr tp_7_wBias: count=13, WR=0.0%, Exp=-0.688, AvgHold=20.8bars, TP%=0.0%
  D/stop_2 tp_3: count=4, WR=25.0%, Exp=-0.75, AvgHold=16.8bars, TP%=25.0%
  D/stop_2 tp_3_wBias: count=4, WR=25.0%, Exp=-0.75, AvgHold=16.8bars, TP%=25.0%
  D/stop_2 tp_5: count=4, WR=0.0%, Exp=-2.0, AvgHold=17.5bars, TP%=0.0%
  D/stop_2 tp_5_wBias: count=4, WR=0.0%, Exp=-2.0, AvgHold=17.5bars, TP%=0.0%
  D/stop_2 tp_7: count=4, WR=0.0%, Exp=-2.0, AvgHold=17.5bars, TP%=0.0%
