==========================================================================================
MULTI-TIMEFRAME RESEARCH RESULTS - KuCoin Spot
Test Period: 90 days | Pairs: 36 | Max Hold: 72 bars
Generated: 2026-04-24 09:48:21
==========================================================================================

------------------------------------------------------------------------------------------
PER-PAIR RESULTS
------------------------------------------------------------------------------------------

BTC/USDT:
  E/stop_2 tp_5_wBias: count=49, WR=22.4%, Exp=-0.429, AvgHold=13.9bars, TP%=22.4%
  E/stop_2 tp_7: count=49, WR=16.3%, Exp=-0.424, AvgHold=17.9bars, TP%=16.3%
  E/stop_2 tp_7_wBias: count=49, WR=16.3%, Exp=-0.424, AvgHold=17.9bars, TP%=16.3%
  E/stop_atr tp_3: count=49, WR=34.7%, Exp=0.318, AvgHold=8.6bars, TP%=34.7%
  E/stop_atr tp_3_wBias: count=49, WR=34.7%, Exp=0.318, AvgHold=8.6bars, TP%=34.7%
  E/stop_atr tp_5: count=49, WR=20.4%, Exp=0.118, AvgHold=10.1bars, TP%=20.4%
  E/stop_atr tp_5_wBias: count=49, WR=20.4%, Exp=0.118, AvgHold=10.1bars, TP%=20.4%
  E/stop_atr tp_7: count=49, WR=14.3%, Exp=0.073, AvgHold=13.6bars, TP%=14.3%
  E/stop_atr tp_7_wBias: count=49, WR=14.3%, Exp=0.073, AvgHold=13.6bars, TP%=14.3%

BNB/USDT:
  A/stop_2 tp_3: count=17, WR=64.7%, Exp=1.235, AvgHold=29.9bars, TP%=64.7%
  A/stop_2 tp_3_wBias: count=17, WR=64.7%, Exp=1.235, AvgHold=29.9bars, TP%=64.7%
  A/stop_2 tp_5: count=17, WR=0.0%, Exp=-0.432, AvgHold=45.1bars, TP%=0.0%
  A/stop_2 tp_5_wBias: count=17, WR=0.0%, Exp=-0.432, AvgHold=45.1bars, TP%=0.0%
  A/stop_2 tp_7: count=17, WR=0.0%, Exp=-0.432, AvgHold=45.1bars, TP%=0.0%
  A/stop_2 tp_7_wBias: count=17, WR=0.0%, Exp=-0.432, AvgHold=45.1bars, TP%=0.0%
  A/stop_atr tp_3: count=17, WR=64.7%, Exp=1.524, AvgHold=26.6bars, TP%=64.7%
  A/stop_atr tp_3_wBias: count=17, WR=64.7%, Exp=1.524, AvgHold=26.6bars, TP%=64.7%
  A/stop_atr tp_5: count=17, WR=0.0%, Exp=0.206, AvgHold=41.6bars, TP%=0.0%
  A/stop_atr tp_5_wBias: count=17, WR=0.0%, Exp=0.206, AvgHold=41.6bars, TP%=0.0%
  A/stop_atr tp_7: count=17, WR=0.0%, Exp=0.206, AvgHold=41.6bars, TP%=0.0%
  A/stop_atr tp_7_wBias: count=17, WR=0.0%, Exp=0.206, AvgHold=41.6bars, TP%=0.0%
  B/stop_2 tp_3: count=9, WR=22.2%, Exp=-0.889, AvgHold=18.9bars, TP%=22.2%
  B/stop_2 tp_3_wBias: count=9, WR=22.2%, Exp=-0.889, AvgHold=18.9bars, TP%=22.2%
